Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Drew Parrish","CIN",0,0,0,5.82457,1,1,0,0,,3.94041,17,4,3,3,1,2,0,0,2,5.43892,3.68422,1.47627,1.77999,0.137645,0.0932385,0.04440692067146301,0.269532,1.46954,0.275413,0.639487,,,5.89996,-0.00694913,-0.0323739,999,,,,,,,4.459015607833864,1.1316128068845266,4.702037572860718,1.1932871296869592,,,,,,,,,,,,,,,,,,,"Drew Parrish","sa3011395",669283
"Blake Weiman","HOU",0,0,0,4.74114,1,0,0,0,,1.21412,5,1,1,1,0,0,0,0,1,7.10866,3.12646,2.27371,1.45706,0.180076,0.0791992,0.10087676346302032,0.254093,1.36204,0.280375,0.692864,,,4.8703,-0.00696537,-0.0390603,999,,,,,,,8.384479403495789,6.905814438366631,8.070594191551208,6.647285205444563,,,,,,,,,,,,,,,,,,,"Blake Weiman","sa3004211",676620
"Sean Poppen","LAA",0,0,0,4.72522,1,0,0,0,,1.24985,6,1,1,1,0,1,0,0,1,8.15974,4.02369,2.02792,1.5119,0.181227,0.0893657,0.09186100959777832,0.254464,1.59269,0.285236,0.750825,,,5.03927,-0.00699482,-0.0340945,999,,,,,,,5.648856735229494,4.519643998968379,5.249227523803711,4.199901110824549,,,,,,,,,,,,,,,,,,,"Sean Poppen","19583",664092
"Hunter Mann","COL",0,0,0,5.44347,1,0,0,0,,1.30464,6,1,1,1,0,1,0,0,1,7.58774,4.42023,1.71659,1.39356,0.190701,0.111093,0.07960829138755798,0.268766,1.53374,0.308112,0.662991,,,5.1184,-0.00699642,-0.0199776,999,,,,,,,6.054324054718018,4.640614687365796,5.523191928863525,4.233504079823832,,,,,,,,,,,,,,,,,,,"Hunter Mann","sa3023231",815065
"Luis F. Castillo","BAL",0,0,0,4.34867,7,0,0,0,,7,32,7,4,4,1,3,,0,6,7.70969,3.46718,2.22362,1.20206,0.196708,0.088463,0.10824520140886307,0.246304,1.3515,0.283922,0.707383,,,4.42608,-0.00701573,-0.028536,999,,,,,,,24.3,3.4714285714285715,25,3.5714285714285716,,,,,,,,,,,,,,,,,,,"Luis F. Castillo","20638",622379
"CJ Weins","DET",0,0,0,4.69449,1,0,0,0,,1.38711,6,1,1,1,0,1,0,0,1,7.81197,4.59977,1.69834,1.1366,0.207061,0.12192,0.08514147996902466,0.243436,1.39511,0.287331,0.677497,,,4.75389,-0.00703788,-0.0299377,999,,,,,,,6.6646042585372935,4.804673445852242,5.935543417930603,4.2790759571811785,,,,,,,,,,,,,,,,,,,"CJ Weins","sa3023221",694291
"Tyler Thornton","CLE",0,0,0,4.42079,1,0,0,0,,1.17476,5,1,1,1,0,1,0,0,1,9.67954,5.30239,1.82551,1.35136,0.240613,0.131806,0.10880666971206665,0.220095,1.43135,0.266084,0.732803,,,4.89749,-0.00704729,-0.0407472,999,,,,,,,5.093209767341614,4.335539264210517,4.873790383338928,4.148760906725144,,,,,,,,,,,,,,,,,,,"Tyler Thornton","sa3018229",696263
"Roberto Perez","SEA",0,0,0,5.46276,1,0,0,0,,1,3,1,1,1,0,0,0,0,0,3.95794,2.89534,1.367,0.966682,0.14659,0.107235,0.039355359971523285,0.266552,1.02656,0.284883,0.414997,,,4.75021,-0.00705522,-0.0546501,999,,,,,,,4.800000000000001,4.800000000000001,5,5,,,,,,,,,,,,,,,,,,,"Roberto Perez","sa3023703",826947
"David Leal","ATH",0,0,0,5.55988,1,1,0,0,,2.1347,9,2,1,1,0,1,0,0,1,5.01261,2.88399,1.73808,1.57428,0.127063,0.0731056,0.05395779013633728,0.280392,1.44711,0.289609,0.642458,,,5.42185,-0.007061,0.0276294,999,,,,,,,9.596776914596557,4.495610057162616,9.673497915267944,4.531550009219777,,,,,,,,,,,,,,,,,,,"David Leal","sa1171029",687578
"Brian Moran","ATL",0,0,0,4.61902,1,0,0,0,,1.57204,7,2,1,1,0,1,0,0,1,7.9447,3.06568,2.59149,1.4772,0.195459,0.0754231,0.12003542482852936,0.253817,1.38871,0.286772,0.714592,,,4.69571,-0.00706978,-0.0166286,999,,,,,,,5.433087778091431,3.456077210523099,6.860194444656372,4.363883421052113,,,,,,,,,,,,,,,,,,,"Brian Moran","9646",572383
