Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Yu Darvish","SDP",7,6,9,4.13638,18,18,0,0,,103,427,94,51,47,15,29,,5,99,8.65917,2.53262,3.41905,1.33932,0.231979,0.0678488,0.16412972658872604,0.238277,1.19169,0.281054,0.703845,,,4.09952,1.2149,1.03902,285.7200012207031,,,,,,,429.30000000000007,4.167961165048545,416,4.038834951456311,,,,,,,,,,,,,,,,,,,"Yu Darvish","13074",506433
"Luis Severino","ATH",6,9,11,4.3831,22,22,0,0,,133,563,127,70,65,19,43,,6,111,7.55988,2.93578,2.57509,1.31885,0.198139,0.0769444,0.12119419127702713,0.247095,1.28123,0.280872,0.698713,,,4.45568,1.21446,0.96512,302.3599853515625,,,,,,,495.3,3.72406015037594,493,3.706766917293233,,,,,,,,,,,,,,,,,,,"Luis Severino","15890",622663
"Miles Mikolas","STL",7,8,9,4.58777,21,21,0,0,,121,509,130,67,61,17,24,,4,81,6.0799,1.7885,3.39943,1.26204,0.159971,0.0470581,0.11291269212961197,0.270288,1.27663,0.295592,0.668835,,,4.28427,1.21403,0.648439,584.2000122070312,,,,,,,426.30000000000007,3.5231404958677692,462,3.8181818181818183,,,,,,,,,,,,,,,,,,,"Miles Mikolas","9803",571945
"Eduardo Rodriguez","ARI",6,5,7,4.0011,21,15,0,0,,88,371,84,42,39,11,28,,2,83,8.53945,2.88608,2.95884,1.14134,0.225096,0.0760756,0.1490202248096466,0.247687,1.27874,0.297681,0.72241,,,3.89996,1.19438,1.11861,376.4800109863281,,,,,,,373.5000000000001,4.244318181818183,373,4.238636363636363,,,,,,,,,,,,,,,,,,,"Eduardo Rodriguez","13164",593958
"Emmanuel Clase","CLE",3,2,0,2.74751,48,0,22,3,,48,193,42,16,15,3,10,,1,45,8.4876,1.80564,4.70061,0.583618,0.234804,0.0499518,0.1848517768085003,0.231303,1.07625,0.291888,0.755406,,,2.75677,1.19435,1.28399,35.18000030517578,,,,,,,388.1000000000001,8.085416666666669,380,7.916666666666667,,,,,,,,,,,,,,,,,,,"Emmanuel Clase","21032",661403
"Max Meyer","MIA",5,7,9,4.19012,25,19,0,0,,107,458,104,54,50,14,37,,4,102,8.56211,3.14049,2.72636,1.21376,0.222453,0.0815934,0.14085952192544937,0.250936,1.32486,0.300066,0.720747,,,4.1206,1.19057,1.25387,352.9200134277344,,,,,,,430.20000000000016,4.020560747663553,434,4.05607476635514,,,,,,,,,,,,,,,,,,,"Max Meyer","27474",676974
"Max Scherzer","TOR",6,5,7,3.93654,21,15,0,0,,89,365,78,42,39,15,23,,4,91,9.18778,2.35595,3.89982,1.50766,0.249653,0.0640165,0.18563652783632278,0.231774,1.13972,0.273289,0.733867,,,4.14711,1.17972,0.92761,273.1400146484375,,,,,,,372.3,4.183146067415731,351,3.943820224719101,,,,,,,,,,,,,,,,,,,"Max Scherzer","3137",453286
"Jeffrey Springs","ATH",7,7,10,4.15925,21,21,0,0,,108,455,102,54,50,17,35,,3,100,8.30355,2.91929,2.84437,1.37648,0.219669,0.0772294,0.14243954420089722,0.244245,1.26482,0.283798,0.725702,,,4.29932,1.17178,1.07347,268.7900085449219,,,,,,,410.90000000000003,3.80462962962963,405,3.75,,,,,,,,,,,,,,,,,,,"Jeffrey Springs","17677",605488
"Zebby Matthews","MIN",5,5,6,4.12451,28,15,0,0,,89,367,87,44,41,14,18,,3,84,8.49721,1.87518,4.53141,1.37388,0.228252,0.0503709,0.17788056656718254,0.252551,1.1916,0.297015,0.709152,,,3.93318,1.16475,0.737785,406.510009765625,,,,,,,365.2000000000001,4.103370786516855,368,4.134831460674158,,,,,,,,,,,,,,,,,,,"Zebby Matthews","31827",805673
"Merrill Kelly","ARI",8,6,10,4.16111,21,21,0,0,,124,520,118,62,57,17,39,,4,108,7.85183,2.86567,2.73996,1.21539,0.207318,0.0756647,0.13165352493524551,0.246326,1.26949,0.285968,0.709849,,,4.15946,1.15598,1.54158,300.7300109863281,,,,,,,488.6999999999999,3.9411290322580634,486,3.9193548387096775,,,,,,,,,,,,,,,,,,,"Merrill Kelly","11156",518876
