#,Name,B,Team,ESPN,Y!,Date,GT,$,Opp,Pitcher,%St,LU,PA,AB,H,R,HR,RBI,SB,BB,SO,AVG,OBP,SLG,OPS,R%,RazzID
243,Luisangel Acuna,R,NYM,2B/SS,2B/SS,5/21,6,-9.9,@BOS,GCrochet(L),100,Y(8),3.7,3.4,0.77,0.31,0.04,0.29,0.20,0.19,0.96,0.224,0.267,0.314,0.581,59,682668
244,Gabriel Arias,R,CLE,2B/SS/ 3B,2B/SS/ 3B/OF,5/21,3,-10.2,@MIN,CPaddack(R),100,Y(7),3.9,3.6,0.79,0.37,0.07,0.38,0.08,0.21,1.13,0.218,0.266,0.335,0.601,57,672356
245,Kyren Paris,R,LAA,2B/OF,2B/OF,5/21,10,-10.2,@ATH,JSears(L),12,N(9),3.7,3.3,0.61,0.37,0.08,0.33,0.17,0.31,1.24,0.185,0.263,0.309,0.572,17,677347
246,Miguel Rojas,R,LAD,SS,2B/SS/ 3B,5/21,10,-10.3,ARI,CBurnes(R),18,N(9),3.1,2.9,0.71,0.31,0.06,0.28,0.10,0.16,0.44,0.245,0.290,0.353,0.643,0,7802
247,Adam Frazier,L,PIT,2B/OF,2B/3B/ OF,5/21,-12,-10.3,CIN,BSinger(R),100,Y(7),3.7,3.3,0.82,0.36,0.05,0.35,0.04,0.26,0.56,0.245,0.306,0.352,0.658,0,15223
248,Michael Conforto,L,LAD,OF,OF,5/21,10,-10.3,ARI,CBurnes(R),97,N(7),3.5,3.1,0.67,0.36,0.12,0.35,0.03,0.34,0.91,0.215,0.299,0.380,0.679,30,16376
249,Matthew Lugo,R,LAA,OF,OF,5/21,10,-10.3,@ATH,JSears(L),96,N(7),3.9,3.6,0.74,0.36,0.10,0.37,0.08,0.21,1.11,0.208,0.260,0.348,0.608,13,683090
250,Josh Bell,S,WSH,1B,1B,5/21,6,-10.5,ATL,ASmith-Shawver(R),100,Y(6),3.7,3.3,0.69,0.38,0.11,0.39,0.01,0.42,0.83,0.212,0.306,0.360,0.666,3,13145
251,Tim Anderson,R,LAA,SS,SS,5/21,10,-10.5,@ATH,JSears(L),11,N(9),3.7,3.4,0.82,0.36,0.04,0.30,0.10,0.14,0.88,0.241,0.278,0.318,0.596,0,15172
252,Dalton Rushing,L,LAD,C,C,5/21,10,-10.5,ARI,CBurnes(R),18,N(7),3.5,3.1,0.66,0.36,0.12,0.34,0.04,0.35,0.95,0.212,0.301,0.374,0.675,23,687221
