Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Jacob deGrom","TEX",7.45205,5.29915,6.70122,3.56987,19,19,0,0,,101.802,407.99,79.7861,42.92,40.38,13.9261,26.797,0.229444,2.88973,115.892,10.2456,2.36904,4.32479,1.23116,0.284055,0.0656805,0.21837425231933594,0.210905,1.04696,0.265045,0.731032,,,3.48394,2.29253,1.96593,49.810001373291016,,,,,,,516.6000000000001,5.064705882352943,470,4.607843137254902,,,,,,,,,,,,,,,,,,,"Jacob deGrom","10954",594798
"MacKenzie Gore","WSN",7.88414,8.01337,11.1638,4.2999,22,22,0,0,,135.652,577.78,124.474,69.81,64.81,18.6702,51.581,0.311309,4.62052,156.619,10.3911,3.42221,3.03637,1.23869,0.271071,0.0892745,0.1817961260676384,0.238649,1.29785,0.305537,0.708694,,,3.83057,2.28631,1.28233,200.7899932861328,,,,,,,593.3000000000001,4.362500000000001,576,4.235294117647059,,,,,,,,,,,,,,,,,,,"MacKenzie Gore","22201",669022
"Freddy Peralta","MIL",8.57379,7.06518,10.0625,3.89972,22,22,0,0,,130.394,540.7,105.996,60.4,56.5,18.6451,47.513,0.307604,5.71532,141.838,9.78987,3.27942,2.98524,1.28691,0.262323,0.0878731,0.17444945871829987,0.217441,1.17727,0.267138,0.730807,,,4.01554,2.17522,1.94447,103.55999755859375,,,,,,,574.6999999999999,4.42076923076923,525,4.038461538461538,,,,,,,,,,,,,,,,,,,"Freddy Peralta","18679",642547
"Hunter Greene","CIN",8.15278,7.0333,10.5225,4.1797,21,21,0,0,,129.045,539.67,107.333,63.94,59.93,20.4203,46.0389,0.301864,7.22118,155.508,10.8456,3.2109,3.37776,1.42418,0.288155,0.0853094,0.20284520089626312,0.220664,1.18852,0.279929,0.716697,,,3.99274,2.11294,1.46156,94.69999694824219,,,,,,,583.3999999999999,4.522480620155037,538,4.170542635658915,,,,,,,,,,,,,,,,,,,"Hunter Greene","22182",668881
"Zac Gallen","ARI",8.99941,6.69046,10.4562,4.20016,22,22,0,0,,131.802,554.53,123.583,65.7,61.51,16.791,41.2807,0.301018,4.73621,126.105,8.61098,2.81882,3.05481,1.14656,0.227409,0.0744427,0.15296588838100433,0.243028,1.25084,0.292087,0.701516,,,3.89757,2.10764,1.44283,119.88999938964844,,,,,,,559.3000000000002,4.237121212121213,553,4.1893939393939394,,,,,,,,,,,,,,,,,,,"Zac Gallen","19291",668678
"Matthew Boyd","CHC",8.47231,6.28071,8.50925,3.91804,23,19,0,0.4781,,115.359,483.22,103.097,54.06,50.22,15.0395,37.4634,0.353543,5.33383,121.264,9.46072,2.9228,3.23687,1.17334,0.25095,0.0775288,0.17342155426740646,0.234086,1.21846,0.289549,0.723822,,,3.81298,2.06643,1.57513,323.04998779296875,,,,,,,514.7,4.475652173913044,496,4.3130434782608695,,,,,,,,,,,,,,,,,,,"Matthew Boyd","15440",571510
"Framber Valdez","HOU",8.33483,6.3108,8.83038,3.77984,21,21,0,0,,120.267,503.13,110.008,54.53,50.51,12.2091,40.0739,0.270143,5.56828,114.022,8.53266,2.99887,2.84529,0.913647,0.226625,0.0796492,0.1469760686159134,0.240461,1.24791,0.295236,0.718493,,,3.66965,2.04704,1.8357,61.900001525878906,,,,,,,544.4,4.536666666666666,534,4.45,,,,,,,,,,,,,,,,,,,"Framber Valdez","17295",664285
"Sandy Alcantara","MIA",6.59432,8.99306,10.25,4.30993,22,22,0,0,,130.262,548.26,127.872,66.94,62.38,14.6527,38.0565,0.350813,4.77472,100.041,6.91198,2.62938,2.62875,1.01238,0.18247,0.0694133,0.1130567193031311,0.252997,1.27381,0.289759,0.680732,,,4.02031,1.9589,1.21668,137.64999389648438,,,,,,,515.7,3.966923076923077,526,4.046153846153846,,,,,,,,,,,,,,,,,,,"Sandy Alcantara","18684",645261
"Gavin Williams","CLE",7.48887,7.02626,10.2149,4.20019,20,20,0,0,,123.98,527.24,110.169,62.04,57.86,16.0245,50.2356,0.31858,5.05853,132.807,9.64079,3.64672,2.64369,1.16325,0.251891,0.0952803,0.15661116689443588,0.233435,1.29379,0.291365,0.712939,,,3.98339,1.95712,1.35539,195.02999877929688,,,,,,,535.8,4.320967741935483,513,4.137096774193548,,,,,,,,,,,,,,,,,,,"Gavin Williams","30122",668909
"Jack Flaherty","DET",7.53978,7.4703,10.1597,4.28003,21,21,0,0,,126.63,535.74,117.911,64.84,60.22,18.6075,41.5418,0.340824,5.7629,137.786,9.7929,2.95251,3.31681,1.3225,0.257188,0.077541,0.1796475127339363,0.241406,1.2592,0.29907,0.70923,,,3.96233,1.93959,1.23475,138.3800048828125,,,,,,,531.3000000000002,4.1834645669291355,520,4.094488188976378,,,,,,,,,,,,,,,,,,,"Jack Flaherty","17479",656427
