Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Travis d'Arnaud","LAA",53,207.756,186.948,43.9722,28.5595,8.36092,0.388651,6.66314,22.4861,24.5963,14.2511,0.145587,52.5636,2.67899,1.28216,0.227121,4.09273,0.455348,0.183673,0.235211,0.0685954,0.253006,0.271121,0.296852,0.391017,0.303901,0.687869,0.155806,2.66848,0.28921,,-0.330648,22.4232,-1.72423,92.8863,-0.330648,2.79,-2.0112050771713257,5.764186143875122,1.1051,417.82000732421875,,,,,,,199.4,3.76226415,199.4,3.76226415,,,,,,,,,,,,,,,,,,,"Travis d'Arnaud","7739",518595
"Jesús Sánchez","MIA",94,392.126,350.024,88.1081,55.9712,17.1061,1.1737,13.8572,47.9397,48.9312,35.3664,1.91006,94.989,3.24587,2.62141,0.868924,7.47664,7.31917,1.94987,0.25172,0.0901913,0.242241,0.372321,0.32388,0.426066,0.328571,0.749945,0.174345,4.55758,0.304558,,-0.0346238,50.0214,4.44471,105.46,-0.0346238,-2.59,2.50671723484993,-5.007695436477661,1.09775,271.2699890136719,,,,,,,451.1,4.79893617,451.1,4.79893617,,,,,,,,,,,,,,,,,,,"Jesus Sanchez","19913",660821
"Luis Urías","ATH",66,274.658,242.3,55.9947,35.5718,10.4765,0.344766,9.60156,32.0383,31.0238,24.1343,0.0912605,54.6267,5.65332,2.00738,0.332155,5.05623,1.53145,0.655347,0.231097,0.0878704,0.19889,0.441803,0.312966,0.396061,0.315174,0.709027,0.164964,2.99079,0.257627,,-0.458798,32.1081,0.184716,102.806,-0.458798,-0.33,0.4174814224243164,0.9067724049091339,1.08476,727.219970703125,,,,,,,285.6,4.327272727,285.6,4.327272727,,,,,,,,,,,,,,,,,,,"Luis Urias","16622",649966
"Harrison Bader","MIN",76,317.573,291.917,71.0346,46.7541,14.0391,1.37847,8.86284,40.8896,32.6626,18.4376,0.198915,66.5527,4.45193,2.13885,0.626934,4.41074,14.0665,4.21327,0.243338,0.058058,0.209567,0.277038,0.296341,0.391958,0.303274,0.688299,0.14862,6.30962,0.284356,,0.577748,34.1172,-2.79414,94.8948,0.577748,2.09,-1.265829861164093,1.1370677947998047,1.08257,472.25,,,,,,,317.9,4.182894736,317.9,4.182894736,,,,,,,,,,,,,,,,,,,"Harrison Bader","18030",664056
"Ben Rice","NYY",51,216.539,189.468,46.3451,25.437,9.17701,0.650351,11.0807,30.633,30.819,22.0941,0.175375,51.0467,3.46159,1.28138,0.234173,3.70815,2.57367,0.749488,0.244607,0.102033,0.235739,0.432821,0.332405,0.475358,0.352343,0.807762,0.230751,4.32523,0.274171,,-0.17768,31.7196,6.55136,128.557,-0.17768,0.2,6.853873312473297,-3.7351851910352707,1.06981,400.7200012207031,,,,,,,281.7,5.523529411,281.7,5.523529411,,,,,,,,,,,,,,,,,,,"Ben Rice","29576",700250
"Otto Lopez","MIA",83,347.478,319.873,86.0766,62.9872,16.1025,2.00659,4.98033,40.4021,32.9976,21.0272,0.587569,58.5768,2.45741,2.33506,1.78569,7.75245,12.1485,3.18882,0.269096,0.0605138,0.168577,0.358969,0.316933,0.378692,0.307727,0.695624,0.109596,5.64923,0.313536,,0.482359,38.5614,-1.82584,91.4839,0.482359,0.36,-3.0301371812820435,1.7101000547409058,1.06545,322.1099853515625,,,,,,,349.8,4.214457831,349.8,4.214457831,,,,,,,,,,,,,,,,,,,"Otto Lopez","19608",672640
"Luis Arraez","SDP",110,470.056,433.367,129.279,105.606,21.2744,2.39871,0,50.5268,44.4799,27.5965,3.18898,19.9147,3.45171,3.92278,1.71796,11.2409,5.80036,2.17012,0.298314,0.058709,0.0423667,1.38573,0.342333,0.358475,0.310793,0.700808,0.0601611,4.29061,0.309744,,-0.74001,53.3117,-1.32276,99.845,-0.74001,3.9,-0.8265130519866943,-4.698362827301025,1.05455,185.14999389648438,,,,,,,460.5,4.186363636,460.5,4.186363636,,,,,,,,,,,,,,,,,,,"Luis Arraez","18568",650333
"Parker Meadows","DET",57,242.316,217.958,51.6156,31.7828,10.0116,2.32429,7.49687,31.7267,25.3607,20.3795,0.506581,56.2918,1.63969,1.66571,0.672922,2.50521,8.58185,1.97587,0.236815,0.084103,0.232307,0.362033,0.304726,0.407264,0.312595,0.71199,0.170449,6.7381,0.283112,,0.509142,27.8298,-0.33446,101.933,0.509142,0.31,1.0418127179145813,1.0430246591567993,1.05182,287.75,,,,,,,256.9,4.507017543,256.9,4.507017543,,,,,,,,,,,,,,,,,,,"Parker Meadows","23800",678009
"Nick Gonzales","PIT",58,242.1,220.455,58.9558,38.3262,13.146,1.49372,5.98984,28.728,28.8007,15.484,0.395116,53.3777,3.44342,2.03399,0.682945,4.26723,2.69129,0.792682,0.267427,0.063957,0.220478,0.290083,0.322609,0.42212,0.326566,0.744729,0.154693,4.70242,0.324702,,-0.217913,30.497,2.35783,104.151,-0.217913,0.09,0.9749065488576889,1.045743852853775,1.04646,408.55999755859375,,,,,,,267.1,4.605172413,267.1,4.605172413,,,,,,,,,,,,,,,,,,,"Nick Gonzales","27490",693304
"Tyler Fitzgerald","SFG",84,356.904,325.621,78.0359,50.9301,15.1813,2.73055,9.19399,45.3154,35.6621,22.7992,0.0439884,98.1899,4.18535,2.42319,1.8747,4.29269,13.3986,2.75405,0.239652,0.0638804,0.275116,0.232195,0.295808,0.387752,0.301561,0.683559,0.148099,6.7468,0.311981,,0.969574,37.856,-3.62684,91.9431,0.969574,0.09,-2.4436578154563904,0.5642547011375427,1.0402,242.5800018310547,,,,,,,353.3,4.20595238,353.3,4.20595238,,,,,,,,,,,,,,,,,,,"Tyler Fitzgerald","26208",666149
